Fecha,Hora,Fecha valor,Producto,ISIN,Descripción,Tipo,Variación,,Saldo,,ID Orden
01-03-2025,04:21,27-02-2025,LOGISTA INTEGRAL SA,ES0105027009,Retención del dividendo,,EUR,-7.27,EUR,236.82,
01-03-2025,04:21,27-02-2025,LOGISTA INTEGRAL SA,ES0105027009,Dividendo,,EUR,38.25,EUR,244.09,
19-02-2025,17:20,19-02-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 13,22 EUR",,,,EUR,205.84,
19-02-2025,17:20,19-02-2025,,,Degiro Cash Sweep Transfer,,EUR,-13.22,EUR,192.62,
19-02-2025,08:46,18-02-2025,"ACCION IBEX 35 ETF, FI COTIZADO",ES0105336038,Retención del dividendo,,EUR,-1.98,EUR,205.84,
19-02-2025,08:46,18-02-2025,"ACCION IBEX 35 ETF, FI COTIZADO",ES0105336038,Dividendo,,EUR,10.41,EUR,207.82,
19-02-2025,08:41,18-02-2025,"ACCION EUROSTOXX 50 ETF, FI COTIZADO",ES0105321030,Dividendo,,EUR,5.91,EUR,197.41,
19-02-2025,08:41,18-02-2025,"ACCION EUROSTOXX 50 ETF, FI COTIZADO",ES0105321030,Retención del dividendo,,EUR,-1.12,EUR,191.50,
31-01-2025,17:52,31-01-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 11,06 EUR",,,,EUR,192.62,
31-01-2025,17:52,31-01-2025,,,Degiro Cash Sweep Transfer,,EUR,-11.06,EUR,181.56,
31-01-2025,07:29,30-01-2025,SACYR SA-RTS - NON TRADEABLE,ES06828709Q0,DESLISTAMIENTO : Venta 175 SACYR SA-RTS - Non tradeable@0 EUR (ES06828709Q0),,EUR,0.00,EUR,192.62,
31-01-2025,07:21,30-01-2025,SACYR SA-RTS - NON TRADEABLE,ES06828709Q0,Retención del dividendo,,EUR,-2.59,EUR,192.62,
31-01-2025,07:21,30-01-2025,SACYR SA-RTS - NON TRADEABLE,ES06828709Q0,Dividendo,,EUR,13.65,EUR,195.21,
20-01-2025,14:19,14-01-2025,SACYR SA-RTS - NON TRADEABLE,ES06828709Q0,DIVIDENDO FLEXIBLE: Compra 175 SACYR SA-RTS - Non tradeable@0 EUR (ES06828709Q0),,EUR,0.00,EUR,181.56,
20-01-2025,14:19,14-01-2025,SACYR SA-RTS,ES06828709Q0,DIVIDENDO FLEXIBLE: Venta 175 SACYR SA-RTS@0 EUR (ES06828709Q0),,EUR,0.00,EUR,181.56,
14-01-2025,08:50,14-01-2025,SACYR SA-RTS,ES06828709Q0,EMISIÓN DE DERECHOS: Compra 175 SACYR SA-RTS@0 EUR (ES06828709Q0),,EUR,0.00,EUR,181.56,
09-01-2025,07:10,02-01-2025,,,Flatex Interest Income,,EUR,0.00,EUR,181.56,
05-10-2024,11:31,30-09-2024,,,Flatex Interest Income,,EUR,0.00,EUR,181.56,
27-09-2024,22:04,27-09-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-11.20,EUR,181.56,
27-09-2024,22:04,27-09-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 11,2 EUR",,,,EUR,192.76,
27-09-2024,06:43,26-09-2024,SACYR SA - RTS - NON TRADEABLE,ES06828709P2,DESLISTAMIENTO : Venta 175 SACYR SA - RTS - Non tradeable@0 EUR (ES06828709P2),,EUR,0.00,EUR,181.56,
27-09-2024,06:32,26-09-2024,SACYR SA - RTS - NON TRADEABLE,ES06828709P2,Dividendo,,EUR,13.83,EUR,181.56,
27-09-2024,06:32,26-09-2024,SACYR SA - RTS - NON TRADEABLE,ES06828709P2,Retención del dividendo,,EUR,-2.63,EUR,167.73,
16-09-2024,15:02,10-09-2024,SACYR SA - RTS - NON TRADEABLE,ES06828709P2,DIVIDENDO FLEXIBLE: Compra 175 SACYR SA - RTS - Non tradeable@0 EUR (ES06828709P2),,EUR,0.00,EUR,170.36,
16-09-2024,15:01,10-09-2024,SACYR SA - RTS,ES06828709P2,DIVIDENDO FLEXIBLE: Venta 175 SACYR SA - RTS@0 EUR (ES06828709P2),,EUR,0.00,EUR,170.36,
10-09-2024,09:02,10-09-2024,SACYR SA - RTS,ES06828709P2,EMISIÓN DE DERECHOS: Compra 175 SACYR SA - RTS@0 EUR (ES06828709P2),,EUR,0.00,EUR,170.36,
30-08-2024,17:00,30-08-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-11.34,EUR,170.36,
30-08-2024,17:00,30-08-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 11,34 EUR",,,,EUR,181.70,
30-08-2024,07:13,29-08-2024,LOGISTA INTEGRAL SA,ES0105027009,Dividendo,,EUR,14.00,EUR,170.36,
30-08-2024,07:13,29-08-2024,LOGISTA INTEGRAL SA,ES0105027009,Retención del dividendo,,EUR,-2.66,EUR,156.36,
14-08-2024,16:45,14-08-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 44,68 EUR",,,,EUR,159.02,
14-08-2024,16:45,14-08-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-44.68,EUR,114.34,
14-08-2024,07:57,13-08-2024,"ACCION EUROSTOXX 50 ETF, FI COTIZADO",ES0105321030,Retención del dividendo,,EUR,-7.24,EUR,159.02,
14-08-2024,07:57,13-08-2024,"ACCION EUROSTOXX 50 ETF, FI COTIZADO",ES0105321030,Dividendo,,EUR,38.08,EUR,166.26,
14-08-2024,07:56,13-08-2024,"ACCION IBEX 35 ETF, FI COTIZADO",ES0105336038,Retención del dividendo,,EUR,-3.25,EUR,128.18,
14-08-2024,07:56,13-08-2024,"ACCION IBEX 35 ETF, FI COTIZADO",ES0105336038,Dividendo,,EUR,17.09,EUR,131.43,
07-07-2024,00:30,30-06-2024,,,Flatex Interest Income,,EUR,0.00,EUR,114.34,
07-04-2024,13:10,31-03-2024,,,Flatex Interest Income,,EUR,0.00,EUR,114.34,
02-03-2024,06:15,01-03-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 27,54 EUR",,,,EUR,114.34,
02-03-2024,06:15,01-03-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-27.54,EUR,86.80,
01-03-2024,07:14,29-02-2024,LOGISTA INTEGRAL SA,ES0105027009,Dividendo,,EUR,34.00,EUR,114.34,
01-03-2024,07:14,29-02-2024,LOGISTA INTEGRAL SA,ES0105027009,Retención del dividendo,,EUR,-6.46,EUR,80.34,
15-02-2024,17:00,15-02-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 10,96 EUR",,,,EUR,86.80,
15-02-2024,17:00,15-02-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-10.96,EUR,75.84,
15-02-2024,07:25,13-02-2024,"ACCION EUROSTOXX 50 ETF, FI COTIZADO",ES0105321030,Dividendo,,EUR,5.87,EUR,86.80,
